"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
20,"Pattern",8.26219071599541,4,304,2.44905198543897e-06,-0.097709,0.1308,"<.0001",0.0615281823762951,0.0980533575710488
21,"Pattern",3.2775948080095,4,304,0.0118898318769291,-0.044058,0.32872,"<.05",0.0269045469215938,0.041343267488715
22,"Pattern",2.64803050289939,4,304,0.0335508887785004,-0.083862,0.27643,"<.05",0.0250937419952117,0.0336693809872552
23,"Pattern",3.8768014931122,4,304,0.00435339430451227,-0.11004,0.2174,"<.005",0.0322629671645296,0.0485347612904417
24,"Pattern",5.43277055511755,4,304,0.000308387279773911,-0.12335,0.16655,"<.0005",0.0408453148419864,0.0667147945241577
25,"Pattern",2.60686259151183,4,304,0.0358733258790818,-0.15945,0.30209,"<.05",0.0224446913363635,0.0331632952336317
26,"Pattern",1.48271729897356,4,304,0.207281661118398,-0.18883,0.2394,"ns",0.0143928200320928,0.019136103516509
27,"Pattern",3.66900326782447,4,304,0.00617694037669362,-0.1756,0.16852,"<.01",0.0302227158030577,0.0460530836000336
28,"Pattern",4.22155320261104,4,304,0.00243001249991546,-0.15612,0.11703,"<.005",0.0345800192965555,0.0526236782270832
29,"Pattern",5.67556766110734,4,304,0.00020356529494627,-0.12367,0.07006,"<.0005",0.0447346351831303,0.0694891731228207
30,"Pattern",6.80718526983328,4,304,2.93430897948233e-05,-0.089234,0.023191,"<.0001",0.0540828634286164,0.0822052488277626
31,"Pattern",6.25165102140345,4,304,7.5932846022669e-05,-0.044495,-0.015575,"<.0001",0.05889297842987,0.0760063894617344
32,"Pattern",1.36816811915095,4,304,0.244894481758468,-0.27061,0.25813,"ns",0.0126435860387664,0.0176838634339112
33,"Pattern",1.60102133664159,4,304,0.173937806976785,-0.27006,0.17418,"ns",0.0150376712226731,0.020631446713777
34,"Pattern",2.11830424656962,4,304,0.078461329467147,-0.22865,0.099464,"ns",0.0177623767041587,0.027116618403332
35,"Pattern",1.79016297455278,4,304,0.130655421247127,-0.1832,0.042556,"ns",0.0187165597611289,0.0230127165968066
36,"Pattern",1.5721691281098,4,304,0.181588793310671,-0.14086,0.0073253,"ns",0.0146424215498196,0.0202671801727418
37,"Pattern",3.7981224352013,4,304,0.00497080747166467,-0.091723,-0.035635,"<.005",0.0376233277594178,0.0475966391099678
38,"Pattern",3.68263091017983,4,304,0.00603707836399481,-0.34659,0.19108,"<.01",0.0341384031935811,0.0462162314185005
39,"Pattern",0.334145944186607,4,304,0.854890544898096,-0.33383,0.039461,"ns",0.00377204890354388,0.00437741118412362
40,"Pattern",1.20451567929694,4,304,0.308881194184165,-0.25598,0.0011134,"ns",0.0137718785974871,0.0156016221162558
41,"Pattern",1.5587462853941,4,304,0.185251179837163,-0.19461,-0.022574,"ns",0.0168588858077977,0.0200976209653823
42,"Pattern",1.00971587213031,4,304,0.402575045706811,-0.15112,-0.059346,"ns",0.010800794442083,0.0131115387285272
43,"Pattern",4.65022816693729,4,304,0.00117287413181378,-0.41311,0.15319,"<.005",0.0432884744091573,0.0576592065841626
44,"Pattern",3.24117344050715,4,304,0.0126327631622145,-0.39898,0.074566,"<.05",0.0307370438022132,0.0409026431560931
45,"Pattern",1.39200163188343,4,304,0.23660725619926,-0.31837,-0.081339,"ns",0.0149039657101297,0.0179863758855148
